Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
TOYOTA,HIGHLANDER,V6,"3,456 cc",295 hp,220 km/h,7.2 sec,"$38,400 ",Petrol/Hybrid,7,370 Nm
TOYOTA,4RUNNER ,V6,"3,956 cc",270 hp,200 km/h,7.5 sec,"$37,400 ",Petrol,5,400 Nm
TOYOTA,TACOMA,I4,"2,694 cc",159 hp,180 km/h,9.5 sec,"$26,400 ",Petrol,5,400 Nm
TOYOTA,TUNDRA,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,"$39,900 ",Petrol,5,650 Nm
TOYOTA,AVALON,V6,"3,456 cc",301 hp,220 km/h,6.9 sec,"$41,400 ",Petrol,5,400 Nm
TOYOTA,MIRAI,I4,"1,798 cc",151 hp,180 km/h,9.2 sec,"$52,400 ",Hydrogen,5,335 Nm
TOYOTA,SIENNA,V6,"2,494 cc",245 hp,190 km/h,8.0 sec,"$44,150 ",Petrol/Hybrid,7,360 Nm
TOYOTA,VENZA,I4,"2,494 cc",219 hp,200 km/h,7.5 sec,"$33,400 ",Hybrid,5,400 Nm
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 cc",240 hp,220 km/h,8.2 sec,"$40,400 ",Hybrid,7,350 Nm
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282 hp,200 km/h,7.2 sec,"$49,400 ",Petrol/Diesel,7,450 Nm
TOYOTA,TUNDRA HYBRID,V6,"3,456 cc",344 hp,220 km/h,6.2 sec,"$43,400 ",Hybrid,5,650 Nm
TOYOTA,YARIS,I4,"1,496 cc",106 hp,180 km/h,11.2 sec,"$18,400 ",Petrol,5,150 Nm
TOYOTA,C-HR,I4,"1,986 cc",144 hp,200 km/h,10.2 sec,"$24,400 ",Petrol/Hybrid,5,250 Nm
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218 hp,200 km/h,7.5 sec,"$43,400 ",Electric,5,330 Nm
TOYOTA,CROWN,HYBRID,"2,494 cc",236 hp,200 km/h,7.6 sec,"$38,400 ",Hybrid,5,400 Nm
TOYOTA,MR2,I4,"1,986 cc",168 hp,200 km/h,6.9 sec,"$29,000 ",Petrol,2,400 Nm
TOYOTA,CELICA,I4,"1,986 cc",140 hp,200 km/h,8.5 sec,"$25,000 ",Petrol,5,250 Nm
HONDA,CITY,I4,"1,497 cc",119 hp,180 km/h,10.2 sec,"$15,400 ",Petrol/Hybrid,5,145 Nm
HONDA,CIVIC,I4,"1,996 cc",158 hp,200 km/h,8.5 sec,"$20,400 ",Petrol,5,400 Nm
HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",87 hp,160 km/h,12.2 sec,"$12,400 ",Petrol,5,120 Nm
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",99 hp,180 km/h,10.5 sec,"$15,400 ",Petrol/Hybrid,5,250 Nm
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999 cc",147 hp,200 km/h,9.5 sec,"$18,400 ",Petrol/Hybrid,5,250 Nm
MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",155 hp,180 km/h,10.5 sec,"$18,400 ",Diesel,7,400 Nm
MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",140 hp,160 km/h,11.2 sec,"$16,400 ",Diesel,7,280 Nm
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997 cc",150 hp,180 km/h,10.5 sec,"$20,400 ",Petrol/Diesel,4,320 Nm
MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,"$10,400 ",Petrol,5,113 Nm
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,"$11,400 ",Petrol/Diesel,5,113 Nm
MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)","1,462 cc",103 hp,180 km/h,11.5 sec,"$14,400 ",Petrol,5,200 Nm
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998 cc",220 hp,180 km/h,6.7 sec,"$31,100 ",Plug-in Hybrid,5,220 Nm
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",300 hp,230 km/h,5. 0 sec,"$36,995 ",Petrol,5,370 Nm
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305 hp,210 km/h,6.8 sec,"$58,500 ",Petrol/Diesel,7,650 Nm
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",437 hp,180 km/h,6.2 sec,"$56,000 ",Hybrid,5,750 Nm
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987 cc",169 hp,190 km/h,8.2 sec,"$25,390 ",Petrol,5,250 Nm
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152 hp,180 km/h,9.0 sec,"$49,500 ",Hydrogen,5,335 Nm
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224 hp,170 km/h,10.0 sec,"$50,000 ",Petrol/Diesel,5,500 Nm
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",296 hp,180 km/h,8.5 sec,"$60,000 ",Petrol,7,400 Nm
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.5 sec,"$55,000 ",Diesel/Petrol,7,500 Nm
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 cc",184 hp,165 km/h,9.5 sec,"$40,000 ",Hybrid,7,250 Nm
TOYOTA,COASTER,"4.0L,DIESEL","4,009 cc",134 hp,120 km/h,N/A,"$70,000 ",Diesel,20,500 Nm
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 cc",114 hp,170 km/h,11 sec,"$25,000 ",Petrol,5,130 Nm
TOYOTA,AYGO X,"1.0L,INLINE-3",998 cc,71 hp,160 km/h,14.8 sec,"$18,000 ",Petrol,4,93 Nm
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 cc",204 hp ,175 km/h,10.0 sec,"$50,000 ",Diesel,5,500 Nm
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136 hp,130 km/h,13.5 sec,"$55,000 ",Electric,7,280 Nm
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 cc",406 hp,200 km/h,6.0 sec,"$170,000 ",Petrol,5,500 Nm
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 cc",134 hp,180 km/h,10.0 sec,"$24,000 ",Hybrid,5,300 Nm
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241 hp,160 km/h,7.5 sec,"$35,000 ",Electric,5,340 Nm
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",268 hp,230 km/h,5.5 sec,"$45,000 ",Petrol,4,390 Nm
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",253 hp,180 km/h,9.3 sec,"$50,000 ",Petrol/Hybrid,7,420 Nm
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6 KWH,225 hp,185 km/h,7.4 sec,"$41,000 ",Electric,5,350 Nm
HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,"2,500 cc",281 hp,215 km/h,6.5 sec,"$40,799 ",Petrol,5,400 Nm
HYUNDAI,Kona,1.6L PETROL ,"1,591 cc",147 hp,185 km/h,10. 5 sec,"$20,500 ",Petrol/EV,5,400 Nm
HYUNDAI,Elantra,2.0L Inline-4,"2,000 cc",147 hp,210 km/h,8.3 sec,"$19,950 ",Petrol/Hybrid,5,250 Nm
Nissan,Urvan,2.5L Turbo Diese,,2488 cc,140 km/h,14.0 sec,"$28,000 ",Diesel,15,356 Nm
HYUNDAI,IONIQ 6,Electric Motor,53.6 kwh(Standard Range) / 77.4 kwh(Long Range),320 hp,185 km/h,5.2 sec,"$41,450 ",Electric,5,350 Nm
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187 hp,180 km/h,6.1 sec,"$30,500 ",Petrol/Hybrid,5,400 Nm
HYUNDAI,Palisade,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,"$52,000 ",Petrol,7,355 Nm
HYUNDAI,Sonata,2.5L Inline-4,"2,500 cc",191 hp,240 km/h,8 sec,"$25,000 ",Petrol/Hybrid,5,250 Nm
HYUNDAI,Accent,1.6L Inline-4,"1,600 cc",120 hp,180 km/h,9.8 sec,"$15,000 ",Petrol,5,151 Nm
HYUNDAI,Venue,1.6L Inline-4,"1,600 cc",121 hp,180 km/h,9.5 sec,"$18,000 ",Petrol,5,240 Nm
HYUNDAI,KONA Electric,Electric Motor,39.2 kwh,200 hp,200 km/h,6.1 sec,"$40,000 ",Electric,5,395 Nm
HYUNDAI,Veloster,2.0L Inline-4,"2,000 cc",275 hp,220 km/h,6 sec,"$25,000 ",Petrol,4,264 Nm
HYUNDAI,NEXO,Electric Motor,1.56 kwh,161 hp,180 km/h,7.8 sec,"$38,000 ",Hydrogen,5,400 Nm
HYUNDAI,Ioniq,1.6L Inline-4,"1,600 cc",139 hp,160 km/h,8.5 sec,"$18,000 ",Hybrid/Electric,5,295 Nm
HYUNDAI,Genesis,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,"$52,000 ",Petrol,5,400 Nm
HYUNDAI,Azera,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,"$55,000 ",Petrol,5,250 Nm
HYUNDAI,Equus,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,"$55,000 ",Petrol,5,400 Nm
HYUNDAI,Tiburon,2.0L Inline-4,"2,000 cc",160 hp,200 km/h,8.2 sec,"$19,000 ",Petrol,4,320 Nm
HYUNDAI,Elantra GT,1.6L Turbo GDI 4-cylinder,"2,000 cc",160 hp,200 km/h,8.3 sec,"$22,000 ",Petrol,5,320 Nm
Volkswagen,Golf,1.5L Turbo I4 / Electric,1498 cc / 40 - 58 kWh,110 - 320 hp,210 km/h,8.5 sec,"$23,000 ",Petrol,5,250 Nm
Volkswagen,Passat,2.0L Turbo I4,1984 cc,150 - 280 hp,210 km/h,7.8 sec,"$25,000 ",Petrol,5,250 Nm
Volkswagen,Tiguan,2.0L Turbo I4,1984 cc,150 - 230 hp,209 km/h,8.5 sec,"$28,505 ","Petrol, Hybrid",7,300 Nm
Volkswagen,Jetta,1.5L Turbo I4,1498 cc,150 - 228 hp,210 km/h,7.7 sec,"$21,995 ",Petrol,5,250 Nm
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,999 cc / 1598 cc,80 - 200 hp,190 km/h,9.5 sec,"$18,000 ",Petrol,5,175 Nm
Volkswagen,Arteon,2.0L Turbo I4,1984 cc,150 - 280 hp,250 km/h,5.6 sec,"$46,000 ",Petrol,5,350 Nm
Volkswagen,ID.4,Electric,77 kWh,201 - 302 hp,160 km/h,7.8 sec,"$39,735 ",Electric,5,310 Nm
Volkswagen,Up!,Electric,32.3 kWh,82 hp,160 km/h,13.0 sec,"$15,000 ",Petrol,4,95 Nm
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,2967 cc / 3956 cc,231 - 500 hp,235 km/h,5.9 sec,"$55,000 ","Petrol, Diesel",5,600 Nm
Volkswagen,Scirocco,2.0L Turbo I4,1984 cc,125 - 280 hp,233 km/h,6.0 sec,"$35,000 ",Petrol,4,350 Nm
Volkswagen,Beetle,2.0L Turbo I4,1984 cc,105 - 210 hp,205 km/h,7.0 sec,"$20,000 ",Petrol,4,240 Nm
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967 cc,163 - 258 hp,180 km/h,7.9 sec,"$40,000 ",Diesel,5,550 Nm
Volkswagen,T-Roc,2.0L Turbo I4,1984 cc,115 - 300 hp,205 km/h,7.2 sec,"$30,000 ",Petrol,5,320 Nm
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150 - 220 hp,200 km/h,9.3 sec,"$33,000 ","Petrol, Diesel",7,280 Nm
Volkswagen,Caddy,1.5L Turbo I4,1498 cc,102 - 150 hp,185 km/h,10.5 sec,"$28,000 ","Petrol, Diesel",7,250 Nm
Nissan,NV1500,4.0L V6,3954 cc,261 hp,160 km/h,9.5 sec,"$33,000 ",Petrol,12,385 Nm
Volkswagen,Taigo,1.5L Turbo I4,1498 cc,95 - 150 hp,183 km/h,10.0 sec,"$24,000 ",Petrol,5,200 Nm
Volkswagen,California,2.0L Turbo I4,1984 cc,150 - 204 hp,180 km/h,13.0 sec,"$70,000 ",Diesel,7,340 Nm
Volkswagen,ID.3,Electric,58 - 77 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm
Volkswagen,ID. Buzz,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$59,995 ",Electric,7,310 Nm
Volkswagen,Golf GTI,2.0L Turbo I4,1984 cc,245 hp,250 km/h,5.9 sec,"$31,965 ",Petrol,5,350 Nm
Volkswagen,Golf R,2.0L Turbo I4,1984 cc,315 hp,250 km/h,4.6 sec,"$44,640 ",Petrol,5,420 Nm
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968 cc,190 - 240 hp,220 km/h,7.8 sec,"$36,000 ",Diesel,5,400 Nm
Volkswagen,Polo GTI,2.0L Turbo I4,1984 cc,204 hp,238 km/h,6.7 sec,"$28,000 ",Petrol,5,320 Nm
Volkswagen,Up! GTI,1.0L Turbo I3,999 cc,115 hp,196 km/h,8.8 sec,"$20,000 ",Petrol,4,200 Nm
Volkswagen,T-Cross,1.0L Turbo I3 / 1.5L Turbo I4,999 cc / 1498 cc,95 - 150 hp,200 km/h,10.2 sec,"$25,000 ",Petrol,5,250 Nm
Volkswagen,ID.5,Electric,77 kWh,174 - 299 hp,180 km/h,8.4 sec,"$45,000 ",Electric,5,310 Nm
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$55,000 ",Electric,3,310 Nm
Volkswagen,Touareg R,Plug-in Hybrid V6,2995 cc,462 hp,250 km/h,5.1 sec,"$70,000 ",Hybrid,5,700 Nm
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,1395 cc / 1968 cc,150 - 218 hp,190 km/h,9.4 sec,"$50,000 ","Petrol, Hybrid",7,350 Nm
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$22,000 ",Diesel,5,250 Nm
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498 cc,130 - 150 hp,210 km/h,8.9 sec,"$30,000 ",Petrol,5,250 Nm
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968 cc,147 - 200 hp,210 km/h,7.1 sec,"$35,000 ",Petrol,5,350 Nm
Volkswagen,Scirocco R,2.0L Turbo I4,1984 cc,280 hp,250 km/h,5.5 sec,"$40,000 ",Petrol,4,350 Nm
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984 cc,184 - 230 hp,215 km/h,7.6 sec,"$35,000 ",Petrol,7,320 Nm
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984 cc,190 - 320 hp,250 km/h,5.6 sec,"$48,000 ",Petrol,5,350 Nm
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299 hp,180 km/h,6.2 sec,"$50,000 ",Electric,5,460 Nm
Volkswagen,ID.3 Pro,Electric,58 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498 cc / 1968 cc,130 - 150 hp,220 km/h,7.5 sec,"$32,000 ",Petrol,5,320 Nm
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968 cc,102 - 177 hp,160 km/h,13.0 sec,"$40,000 ",Diesel,3,410 Nm
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390 cc / 1199 cc,60 - 75 hp,170 km/h,14.3 sec,"$15,000 ",Petrol,4,120 Nm
Volkswagen,Corrado,2.9L VR6,2861 cc,190 hp,235 km/h,6.4 sec,"$25,000 ",Petrol,4,245 Nm
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967 cc / 5998 cc,240 - 450 hp,250 km/h,6.1 sec,"$85,000 ",Petrol,5,560 Nm
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm
Volkswagen,Santana,1.5L I4 Gas,1498 cc,110 hp,190 km/h,12.9 sec,"$15,000 ",Petrol,5,145 Nm
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390 cc / 1598 cc,85 - 105 hp,170 km/h,10.8 sec,"$14,000 ",Petrol,5,132 Nm
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192 cc,34 - 60 hp,138 km/h,23.0 sec,"$25,000 ",Petrol,2,106 Nm
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198 cc / 1390 cc,55 - 75 hp,148 km/h,17.5 sec,"$12,000 ",Petrol,5,93 Nm
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598 cc,105 - 110 hp,186 km/h,11.7 sec,"$18,000 ",Petrol,5,153 Nm
Volkswagen,Golf Electric,Electric,35.8 kWh,136 hp,140 km/h,10.4 sec,"$33,000 ",Electric,5,290 Nm
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598 cc / 1896 cc,100 - 150 hp,200 km/h,9.4 sec,"$20,000 ",Petrol,5,220 Nm
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984 cc / 3597 cc,235 - 276 hp,190 km/h,8.6 sec,"$32,000 ",Petrol,7,350 Nm
Volkswagen,Taos,1.5L I4 Turbo,1498 cc,158 hp,193 km/h,8.4 sec,"$24,000 ",Petrol,5,250 Nm
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999 cc,82 - 115 hp,160 km/h,12.4 sec,"$18,000 ",Petrol,4,95 Nm
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,205 km/h,9.6 sec,"$35,000 ",Petrol,4,250 Nm
Volkswagen,Passat CC,2.0L I4 Turbo,1984 cc,200 - 280 hp,240 km/h,7.3 sec,"$40,000 ",Petrol,5,280 Nm
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968 cc,102 - 204 hp,180 km/h,12.2 sec,"$35,000 ",Diesel,9,340 Nm
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967 cc,204 - 258 hp,191 km/h,7.9 sec,"$45,000 ",Diesel,5,580 Nm
Volkswagen,ID.2,Electric,~50 kWh (Estimate),~170 hp,160 km/h,8.0 sec,"$25,000 ",Electric,5,220 Nm
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390 cc / 1598 cc,75 - 105 hp,190 km/h,9.9 sec,"$20,000 ",Diesel,5,250 Nm
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),1395 cc + Electric Motor,204 hp,222 km/h,7.6 sec,"$40,000 ",Hybrid,5,350 Nm
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956 cc,421 hp,250 km/h,4.9 sec,"$70,000 ",Petrol,5,770 Nm
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395 cc,150 hp,200 km/h,7.5 sec,"$30,000 ",Petrol,4,250 Nm
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150 - 280 hp,210 km/h,8.7 sec,"$28,000 ",Petrol,5,250 Nm
Volkswagen,ID.4 Pro S,Electric,77 kWh,201 hp,180 km/h,7.8 sec,"$45,000 ",Electric,5,310 Nm
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm
Volkswagen,Golf Country,1.8L I4 Gas,1781 cc,98 hp,165 km/h,12.0 sec,"$25,000 ",Petrol,5,170 Nm
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984 cc,228 hp,250 km/h,6.5 sec,"$31,000 ",Petrol,5,350 Nm
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984 cc,150 - 320 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,420 Nm
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,200 km/h,8.5 sec,"$27,000 ",Petrol,5,250 Nm
Volkswagen,Golf R32,3.2L VR6,3189 cc,240 hp,250 km/h,6.2 sec,"$40,000 ",Petrol,5,320 Nm
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598 cc / 1984 cc,120 - 240 hp,220 km/h,8.5 sec,"$26,000 ",Petrol,5,280 Nm
Volkswagen,Scirocco 16V,1.8L I4 Gas,1781 cc,137 hp,220 km/h,7.1 sec,"$35,000 ",Petrol,4,230 Nm
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$20,000 ",Diesel,5,210 Nm
Volkswagen,Golf Variant GTD,2.0L Diesel I4,1968 cc,184 hp,230 km/h,7.5 sec,"$38,000 ",Diesel,5,380 Nm
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598 cc,272 hp,200 km/h,4.1 sec,"$45,000 ",Petrol,5,400 Nm
Volkswagen,ID. Buzz Pro,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$60,000 ",Electric,7,310 Nm
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170 hp,210 km/h,8.6 sec,"$28,000 ",Hybrid,5,250 Nm
Volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968 cc,150 - 200 hp,220 km/h,7.8 sec,"$35,000 ",Petrol,5,320 Nm
Volkswagen,Volkswagen XL1,Plug-in Hybrid (0.8L I2 Diesel),800 cc + Electric Motor,68 hp,160 km/h,11.9 sec,"$150,000 ",Hybrid,2,140 Nm
Volkswagen,Golf TDI,2.0L Diesel I4,1968 cc,150 - 184 hp,220 km/h,8.0 sec,"$28,000 ",Diesel,5,350 Nm
Volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150 - 240 hp,220 km/h,8.5 sec,"$30,000 ",Petrol,5,280 Nm
Volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984 cc,300 hp,240 km/h,6.7 sec,"$30,000 ",Petrol,5,320 Nm
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170 hp,210 km/h,8.6 sec,"$28,000 ",Hybrid,5,250 Nm
Volkswagen,ID.3 GTX,Electric,77 kWh,299 hp,180 km/h,6.2 sec,"$45,000 ",Electric,5,310 Nm
Volkswagen,Arteon R-Line,2.0L I4 Turbo,1984 cc,190 - 280 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,420 Nm
Volkswagen,Golf TGI,1.5L I4 CNG,1498 cc,130 hp,220 km/h,8.8 sec,"$30,000 ",Petrol,5,200 Nm
Volkswagen,Scirocco GTS,2.0L I4 Turbo,1984 cc,220 hp,246 km/h,6.5 sec,"$35,000 ",Petrol,4,350 Nm
Volkswagen,Caddy Maxi,2.0L Diesel I4,1968 cc,122 - 150 hp,180 km/h,12.0 sec,"$25,000 ",Diesel,7,250 Nm
Volkswagen,Volkswagen Lupo 3L,1.2L Diesel I3,1199 cc,61 hp,165 km/h,14.5 sec,"$20,000 ",Diesel,4,140 Nm
Volkswagen,Polo Beats,1.0L I3 Turbo,999 cc,95 hp,187 km/h,9.5 sec,"$22,000 ",Petrol,5,175 Nm
Volkswagen,Passat Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,215 hp,210 km/h,7.4 sec,"$32,000 ",Hybrid,5,330 Nm
Volkswagen,Golf TCR,2.0L I4 Turbo,1984 cc,290 hp,250 km/h,5.6 sec,"$40,000 ",Petrol,5,370 Nm
Volkswagen,Tiguan R-Line,2.0L I4 Turbo,1984 cc,190 - 230 hp,250 km/h,4.9 sec,"$45,000 ",Petrol,5,420 Nm
Volkswagen,Sharan Business,2.0L Diesel I4,1968 cc,150 - 184 hp,200 km/h,8.3 sec,"$35,000 ",Diesel,7,350 Nm
Volkswagen,ID. Buzz Cargo Pro,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$55,000 ",Electric,2,310 Nm
Volkswagen,Arteon 280 TSI,2.0L I4 Turbo,1984 cc,280 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,350 Nm
Volkswagen,Jetta GLI 35th,2.0L I4 Turbo,1984 cc,228 hp,250 km/h,6.5 sec,"$31,000 ",Petrol,5,350 Nm
Volkswagen,Beetle Final Edition,2.0L I4 Turbo,1984 cc,174 hp,205 km/h,7.0 sec,"$25,000 ",Petrol,4,250 Nm
Volkswagen,Golf Variant TDI,2.0L Diesel I4,1968 cc,150 - 184 hp,220 km/h,7.8 sec,"$30,000 ",Diesel,5,350 Nm
Volkswagen,Golf 4MOTION,2.0L Diesel I4,1968 cc,150 - 184 hp,250 km/h,4.9 sec,"$40,000 ",Petrol,5,400 Nm
Volkswagen,Jetta SportWagen,1.4L I4 Turbo / 2.0L Diesel I4,1395 cc / 1968 cc,147 - 150 hp,200 km/h,8.5 sec,"$27,000 ",Petrol,5,250 Nm
Volkswagen,Polo GTI Plus,2.0L I4 Turbo,1984 cc,207 hp,237 km/h,6.7 sec,"$30,000 ",Petrol,5,320 Nm
Volkswagen,Touareg V6,3.0L V6 Turbo Diesel / Gasoline,2967 cc,231 - 340 hp,235 km/h,7.5 sec,"$60,000 ",Petrol,5,450 Nm
Volkswagen,Tiguan eHybrid,1.4L I4 Turbo + Electric Motor,1395 cc + Battery,245 hp,200 km/h,7.5 sec,"$42,000 ",Hybrid,5,400 Nm
Volkswagen,Up! e-up!,Electric,32.3 kWh,83 hp,130 km/h,11.9 sec,"$23,000 ",Electric,4,210 Nm
Volkswagen,Amarok V8,4.0L V8 Turbo Diesel,3996 cc,310 - 340 hp,210 km/h,7.4 sec,"$70,000 ",Diesel,5,580 Nm
Volkswagen,Golf R Cabriolet,2.0L I4 Turbo,1984 cc,265 hp,250 km/h,5.9 sec,"$45,000 ",Petrol,4,380 Nm
Volkswagen,Passat Alltrack TDI,2.0L Diesel I4,1968 cc,190 hp,220 km/h,8.0 sec,"$40,000 ",Diesel,5,400 Nm
Volkswagen,ID. Buzz Cargo EV,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$55,000 ",Electric,2,310 Nm
Nissan,Versa,1.6L Inline-4,1598 cc,122 HP,180 km/h,10.4 sec,"$16,700 ",Petrol,5,154 Nm
Nissan,Micra,1.0L Turbocharged Inline-3,999 cc,100 HP,175 km/h,10.8 sec,"$15,500 ",Petrol,5,160 Nm
Nissan,Patrol Platinum,5.6L V8,5552 cc,400 HP,210 km/h,7.3 sec,"$77,000 ",Petrol,7,560 Nm
